Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/7/2020,312,0.03, ,0.00, ,120, ,5.0, ,42.6, ,19.3, ,32.1, ,99, ,56, ,81, ,27.0, ,6.5, ,156.8, ,44.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/8/2020,313,0.04, ,0.06, ,217, ,3.7, ,34.5,Y,10.0, ,24.9,Y,97, ,56, ,81,Y,20.0,Y,4.2, ,102.0, ,42.7, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/9/2020,314,0.04, ,0.00, ,269, ,2.9, ,35.5,Y,1.9,Y,19.4,Y,93, ,52, ,80,Y,14.3,Y,3.6, ,86.7, ,38.0,Y
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/10/2020,315,0.07, ,0.00, ,289, ,3.7, ,53.1, ,11.2, ,30.1, ,94, ,31, ,65, ,19.7, ,3.9, ,92.7, ,38.1,Y
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/11/2020,316,0.06, ,0.00, ,256, ,3.6, ,49.7, ,10.9, ,29.3, ,96, ,31, ,66, ,19.2, ,3.2, ,77.1, ,38.2,Y
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/12/2020,317,0.06, ,0.00, ,272, ,2.7, ,52.9, ,3.5,Y,26.4, ,93, ,19, ,56, ,12.9, ,3.1, ,73.3, ,37.0,Y
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/13/2020,318,0.06, ,0.04, ,135, ,5.2, ,45.3, ,21.7, ,38.7, ,89, ,28, ,65, ,28.1, ,12.4,R,296.5,R,37.8,Y
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/14/2020,319,0.05, ,0.00, ,196, ,4.2, ,51.1, ,15.7, ,35.2, ,98, ,35, ,61, ,23.0, ,4.5, ,108.1, ,38.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/15/2020,320,0.08, ,0.00, ,196, ,4.8, ,59.0, ,22.9, ,41.7, ,99, ,29, ,54, ,26.2, ,6.9, ,166.2, ,39.4, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,11/16/2020,321,0.06, ,0.00, ,259, ,4.8, ,67.2, ,17.2, ,34.8, ,99, ,25, ,70, ,26.0, ,2.0, ,48.4, ,39.6, 
