Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/5/2025,125,0.23, ,0.00, ,700, ,4.9, ,63.6, ,37.6, ,49.9, ,53, ,27, ,40, ,26.6, ,8.5, ,202.8, ,53.9, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/6/2025,126,0.22, ,0.00, ,696, ,5.8, ,62.7, ,35.1, ,50.2, ,87, ,33, ,47, ,30.5, ,6.7, ,159.9, ,53.9, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/7/2025,127,0.22, ,0.00, ,689, ,7.4, ,70.5, ,30.3, ,52.2, ,99, ,29, ,56, ,36.9, ,4.8, ,114.9, ,53.7, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/8/2025,128,0.22, ,0.00, ,688, ,8.5, ,74.1, ,33.4, ,55.1, ,100, ,28, ,57, ,40.4, ,3.4, ,82.1, ,54.6, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/9/2025,129,0.25, ,0.00, ,683, ,9.1, ,78.2, ,37.0, ,58.2, ,100, ,25, ,55, ,42.2, ,5.0, ,119.2, ,55.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/10/2025,130,0.26, ,0.00, ,651, ,8.8, ,76.7, ,37.1, ,59.5, ,99, ,29, ,51, ,41.3, ,7.1, ,169.5, ,56.1, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/11/2025,131,0.32, ,0.00, ,682, ,5.6, ,65.5, ,42.9, ,56.5, ,53, ,27, ,36, ,30.0, ,16.8,R,404.0,R,55.1, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/12/2025,132,0.17, ,0.14, ,556, ,6.6, ,50.9, ,34.3, ,43.1, ,99, ,42, ,70, ,33.9, ,11.7,R,282.0,R,52.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/13/2025,133,0.12, ,0.26, ,463, ,7.2, ,50.6, ,32.8, ,40.2,Y,100, ,57, ,85,Y,36.0,Y,4.5, ,108.2, ,51.1, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/14/2025,134,0.18, ,0.02, ,630, ,7.9, ,62.1, ,31.4, ,47.2, ,100, ,38, ,72, ,38.5, ,3.8, ,90.9, ,51.9, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/15/2025,135,0.19, ,0.00, ,601, ,8.5, ,67.0, ,33.3, ,51.1, ,100, ,40, ,66, ,40.3, ,4.5, ,109.1, ,53.0, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/16/2025,136,0.21, ,0.00, ,683, ,9.5, ,69.4, ,38.6, ,55.2, ,99, ,38, ,64, ,43.1, ,3.8, ,90.8, ,54.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/17/2025,137,0.11, ,0.07, ,366, ,8.6, ,56.5, ,37.9, ,49.0, ,99, ,52, ,72, ,40.5, ,6.7, ,159.9, ,54.3, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/18/2025,138,0.21, ,0.00, ,713, ,6.7, ,63.8, ,30.0, ,47.6, ,99, ,33, ,59, ,34.2, ,4.4, ,106.1, ,53.1, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/19/2025,139,0.22, ,0.00, ,706, ,7.9, ,70.1, ,30.4, ,51.0, ,99, ,35, ,62, ,38.5, ,4.6, ,111.3, ,53.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/20/2025,140,0.23, ,0.00, ,726, ,7.2, ,71.2, ,31.5, ,53.4, ,100, ,26, ,52, ,36.1, ,4.0, ,96.1, ,54.0, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/21/2025,141,0.24, ,0.00, ,718, ,7.3, ,74.8, ,31.1, ,54.9, ,99, ,28, ,49, ,36.4, ,4.3, ,104.2, ,54.4, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/22/2025,142,0.27, ,0.00, ,729, ,6.7, ,68.5, ,33.4, ,53.8, ,96, ,27, ,47, ,34.2, ,7.6, ,183.2, ,54.5, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/23/2025,143,0.23, ,0.00, ,734, ,6.5, ,70.2, ,28.9, ,51.4, ,99, ,24, ,50, ,33.6, ,3.9, ,93.6, ,54.0, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/24/2025,144,0.23, ,0.00, ,721, ,8.7, ,76.6, ,33.1, ,56.6, ,99, ,24, ,56, ,41.0, ,3.2, ,76.8, ,54.6, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/25/2025,145,0.25, ,0.00, ,690, ,9.4, ,75.6, ,37.3, ,58.7, ,100, ,34, ,56, ,43.0, ,5.3, ,128.3, ,55.7, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/26/2025,146,0.23, ,0.00, ,631, ,7.7, ,70.4, ,39.5, ,56.6, ,97, ,30, ,49, ,37.7, ,4.8, ,114.6, ,56.2, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/27/2025,147,0.25, ,0.00, ,715, ,9.8, ,80.2, ,34.4, ,59.4, ,100, ,23, ,56, ,43.9, ,4.3, ,102.4, ,56.2, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/28/2025,148,0.26, ,0.00, ,721, ,9.7, ,79.7, ,38.7, ,61.1, ,99, ,25, ,53, ,43.6, ,4.4, ,105.2, ,57.1, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/29/2025,149,0.25, ,0.00, ,720, ,9.4, ,82.9, ,37.5, ,61.2, ,99, ,22, ,51, ,43.0, ,3.1, ,75.2, ,57.3, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/30/2025,150,0.26, ,0.00, ,708, ,10.8, ,89.9, ,41.6, ,66.4, ,99, ,23, ,49, ,46.7, ,3.5, ,83.0, ,58.3, 
264,Sierra Valley Center,Eastern Sierra Basin & Range,5/31/2025,151,0.28, ,0.00, ,725, ,10.4, ,87.0, ,40.1, ,65.6, ,99, ,23, ,48, ,45.5, ,4.6, ,111.5, ,58.9, 
